CO_URF;NO_URF.2
215200; MONTE DOURADO
220101; ITACOATIARA
510102; CAMACARI
130101; ALTO ARAGUAIA
812700; SAO SEBASTIAO
1015400; PORTO ALEGRE
317800; PORTO DE PECEM
910152; ANTONINA
1010951; ITAQUI
417700; AEROPORTO GUARARAPES
210251; OBIDOS
920351; DIONISIO CERQUEIRA
920205; RIO DO SUL
1010955; QUARAI
1011000; SANTANA DO LIVRAMENTO
910602; MARECHAL CANDIDO RONDON
410300; PETROLINA
8110000; NAO INFORMADO
920251; SAO FRANCISCO DO SUL
0; NAO INFORMADO
327600; PORTO DE SAO LUIS
140251; BELA VISTA
145100; MUNDO NOVO
811201; AMERICANA
217601; AEROPORTO INTERNAC. DE BELEM (PA)
210106; BREVES
210151; BARCARENA
615100; IRF/BELO HORIZONTE - MG
140151; BELA VISTA
145352; PORTO MURTINHO
915200; CURITIBA
1011052; QUARAI
920600; ITAJAI
1015300; CHUI
920151; IMBITUBA
210400; MONTE DOURADO
1010703; MONTENEGRO
325100; PORTO DE SAO LUIS
1015600; SANTANA DO LIVRAMENTO
317600; PORTO DE FORTALEZA
925200; FLORIANOPOLIS
1010954; BARRA DO QUARAI
417800; PORTO DE SUAPE
1010104; SANTA CRUZ DO SUL
515100; ILHEUS
420153; AREIA BRANCA
910351; SANTO ANTONIO DO SUDOESTE
517600; PORTO DE SALVADOR
1011200; CHUI
1010500; RIO GRANDE
317700; AEROPORTO INTERNACIONAL PINTO MARTINS
917601; ANTONINA
1011051; BAGE
810603; CUBATAO
140152; PORTO MURTINHO
1011001; DOM PEDRITO
925100; ITAJAI
910652; SANTA HELENA
920153; AEROP. INTERNAC. HERCILIO LUZ (SC)
715300; ANGRA DOS REIS
710451; MACAE
140252; PORTO MURTINHO
145200; CORUMBA
517601; AEROP. INTERN. DOIS DE JULHO (BA)
517700; AEROPORTO INTERNACIONAL DE SALVADOR DEP. LUIS EDUARDO
517602; PORTO DE ARATU
317601; AEROP. INTERN. PINTO MARTINS (CE)
420151; AREIA BRANCA
910700; PARANAGUA
145300; PONTA PORA
917801; ANTONINA
220152; TABATINGA
915100; ANTONINA
910651; GUAIRA
715500; MACAE
910751; ANTONINA
910151; SAO JOSE DOS PINHAIS
317602; PECEM
910601; MEDIANEIRA
1010953; SAO BORJA
217600; PORTO DE BELEM
1015500; CHUI
910600; FOZ DO IGUACU
1010900; URUGUAIANA
917600; PORTO DE PARANAGUA
815300; SAO SEBASTIAO
715400; RIO DE JANEIRO
415100; IRF/RECIFE
1017600; AEROPORTO SALGADO FILHO - PORTO ALEGRE
510600; ILHEUS
230151; BRASILEIA
217700; AEROPORTO INTERNACIONAL DE BELEM
925251; IMBITUBA
917700; AEROPORTO INTERN. AFONSO PENA (PR)
145351; BELA VISTA
217602; BARCARENA
1010109; NAO INFORMADO
910; SEFAZ-SC - CONVENIO CONSULTA SISTEMA CARGA
110100; BRASILIA
117600; AEROPORTO INTERNACIONAL DE BRASILIA
120100; GOIANIA
120102; CATALAO
120200; ANAPOLIS
130100; CUIABA
130151; CACERES
140100; CAMPO GRANDE
147600; ALF - CORUMBÁ
147700; ALF - MUNDO NOVO
147800; ALF - PONTA PORA
147852; ARF - PORTO MURTINHO
210100; BELEM
210200; SANTAREM
210252; ALMEIRIM
210300; MARABA
217800; ALF - BELEM
217801; IRF - AEROPORTO INTERNACIONAL DE BELEM
217802; IRF - BARCARENA
220100; DRF MANAUS
227600; PORTO DE MANAUS
227603; TABATINGA
227700; AEROPORTO EDUARDO GOMES
230100; RIO BRANCO
230152; CRUZEIRO DO SUL
230154; Assis Brasil
230155; IRF - EPITACIOLâNDIA
240100; MACAPA
240151; OIAPOQUE
240152; SANTANA
250100; PORTO VELHO
250151; GUAJARA-MIRIM
250152; VILHENA
260100; BOA VISTA
260151; PACARAIMA
260152; BONFIM
310100; FORTALEZA
317900; ALF - FORTALEZA
317901; IRF - AEROPORTO INTERNACIONAL PINTO MARTINS
317902; IRF - PORTO DE PECEM
320100; SAO LUIS
320151; IRF - PORTO DE SAO LUIS
330100; TERESINA
410100; RECIFE
410102; GOIANA
410251; PETROLINA
417600; PORTO DO RECIFE
417900; ALF - RECIFE
417901; IRF - AEROPORTO INTERNACIONAL DOS GUARARAPES
417902; IRF - PORTO DE SUAPE
420100; NATAL
420152; PARNAMIRIM
420154; IRF NATAL
420200; MOSSORO
420252; AREIA BRANCA
430100; JOAO PESSOA
430151; CABEDELO
440100; MACEIO
440151; MACEIO
510100; SALVADOR
510300; VITORIA DA CONQUISTA
510500; ITABUNA
510551; PORTO SEGURO
510552; ILHEUS
517800; ALF - SALVADOR
517801; IRF - AEROPORTO INTERNACIONAL DE SALVADOR
520100; ARACAJU
520105; PROPRIA
610100; BELO HORIZONTE
610300; GOVERNADOR VALADARES
610301; TEOFILO OTONI
610400; JUIZ DE FORA
610500; UBERABA
610600; VARGINHA
610900; UBERLANDIA
611000; CONTAGEM
617600; AEROPORTO TANCREDO NEVES
617700; ALF - BELO HORIZONTE
617701; IRF - AEROPORTO INTERNACIONAL DE CONFINS
710100; RIO DE JANEIRO/CENTRO-SUL
710200; NITEROI
710203; CABO FRIO
710300; NOVA IGUACU
710301; DUQUE DE CAXIAS
710400; CAMPOS DOS GOITACAZES
710500; VOLTA REDONDA
710504; ANGRA DOS REIS
710600; RIO DE JANEIRO/CENTRO-NORTE
711000; MACAE
717600; PORTO DO RIO DE JANEIRO
717700; AEROPORTO INTERNACIONAL DO RIO DE JANEIRO
717800; PORTO DE ITAGUAI
720100; VITORIA
727600; PORTO DE VITORIA
810100; SAO PAULO/CENTRO NORTE
810300; BAURU
810303; JAU
810400; CAMPINAS
810500; PRESIDENTE PRUDENTE
810600; SANTOS
810700; SAO JOSE DO RIO PRETO
810800; TAUBATE
810803; GUARATINGUETA
810900; RIBEIRAO PRETO
810904; BEBEDOURO
811000; SOROCABA
811100; GUARULHOS
811200; LIMEIRA
811300; OSASCO
811401; DIADEMA
811404; SAO BERNARDO DO CAMPO
812000; SAO JOSE DOS CAMPOS
812051; SAO SEBASTIAO
812300; FRANCA
812400; JUNDIAI
812500; PIRACICABA
815500; SAO PAULO
817600; AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS
817700; AEROPORTO INTERNACIONAL DE VIRACOPOS
817800; PORTO DE SANTOS
817900; SAO PAULO
910100; CURITIBA
910200; LONDRINA
910300; CASCAVEL
910400; PONTA GROSSA
910500; MARINGA
910506; UMUARAMA
917500; ALF - FOZ DO IGUAÇU
917501; IRF - GUAIRA
917502; IRF - SANTA HELENA
917800; PORTO DE PARANAGUA
917900; ALF - CURITIBA
917901; IRF - AEROPORTO INTERNACIONAL AFONSO PENA
920100; FLORIANOPOLIS
920102; CRICIUMA
920200; JOINVILLE
920203; JARAGUA DO SUL
927501; IRF - AEROPORTO INTERNACIONAL DE FLORIANOPOLIS
927502; IRF - IMBITUBA
927600; AEROPORTO DE FLORIANOPOLIS
927601; IMBITUBA
927700; PORTO DE SAO FRANCISCO DO SUL
927800; ITAJAI
927900; ALF - DIONISIO CERQUEIRA
1010103; GUAIBA
1010151; TRAMANDAI
1010200; PELOTAS
1010252; JAGUARAO
1010253; BAGE
1010300; SANTA MARIA
1010600; CAXIAS DO SUL
1010700; NOVO HAMBURGO
1010851; PORTO MAUA
1010852; PORTO XAVIER
1011100; SANTA CRUZ DO SUL
1017500; ALF - URUGUAIANA
1017501; IRF - ITAQUI
1017502; IRF - QUARAI
1017503; IRF - SAO BORJA
1017551; ARF - BARRA DO QUARAI
1017700; PORTO DE RIO GRANDE
1017701; IRF - CHUI
1017800; ALF - PORTO ALEGRE
1017801; IRF - AEROPORTO INTERNACIONAL SALGADO FILHO
1017900; ALF - SANTANA DO LIVRAMENTO
815400; NAO INFORMADO
927500; ALF - FLORIANOPOLIS
710252; IRF MACAE
9999999; NAO INFORMADO
147851; ARF - BELA VISTA
812200; ARARAQUARA
510353; IRF ILHEUS
710251; IRF CAMPOS DOS GOYTACAZES
1010351; IRF SANTANA DO LIVRAMENTO
1017504; IRF PORTO MAUA
1017505; IRF PORTO XAVIER
510352; IRF PORTO SEGURO
317903; IRF SAO LUIS
